ci_initial,ci_final,elapsed_time,iterations
0,0,0.22356915473937988,3
0,0,0.027060985565185547,3
0,0,0.023440122604370117,2
0,0,0.024027585983276367,3
0,0,0.023969173431396484,2
0,0,0.025107860565185547,3
0,0,0.023569583892822266,3
0,0,0.022294998168945312,3
0,0,0.022669553756713867,2
0,0,0.024399280548095703,3
0,0,0.02091836929321289,2
0,0,0.02843928337097168,2
0,0,0.03181576728820801,2
0,0,0.029486894607543945,3
0,0,0.02501058578491211,3
1,1,0.023669719696044922,3
0,0,0.029305458068847656,3
0,0,0.043875694274902344,2
0,0,0.022466659545898438,2
0,0,0.026340484619140625,2
0,0,0.03298640251159668,3
0,0,0.024944782257080078,3
0,0,0.02456378936767578,2
0,0,0.022632598876953125,3
0,0,0.02513909339904785,3
0,0,0.27708005905151367,3
0,0,0.11752676963806152,2
0,0,0.023382186889648438,2
0,0,0.026861906051635742,3
0,0,0.023775577545166016,3
0,0,0.02981090545654297,3
0,0,0.03599381446838379,2
0,0,0.032045841217041016,2
0,0,0.03357243537902832,2
0,0,0.02764153480529785,3
0,0,0.044786691665649414,2
0,0,0.024053096771240234,3
0,0,0.02490544319152832,3
0,0,0.029056072235107422,2
0,0,0.028878211975097656,3
0,0,0.031702280044555664,3
0,0,0.02678847312927246,3
0,0,0.022516250610351562,2
1,1,0.20285797119140625,4
0,0,0.33200693130493164,3
0,0,0.5690617561340332,2
0,0,0.026517868041992188,3
0,0,0.02333807945251465,3
1,1,0.07148480415344238,4
0,0,0.19076132774353027,3
0,0,0.15116095542907715,2
0,0,0.025890588760375977,3
1,1,0.031185150146484375,4
0,0,0.02472233772277832,2
0,0,0.029364824295043945,3
0,0,0.024966716766357422,2
0,0,0.13055729866027832,3
0,0,0.20568251609802246,3
0,0,0.060518741607666016,2
0,0,0.02435612678527832,2
0,0,0.02505326271057129,2
0,0,0.025354385375976562,3
0,0,0.023888349533081055,3
1,1,0.024134397506713867,3
0,0,0.03179311752319336,3
1,1,0.03858017921447754,3
0,0,0.02935051918029785,3
0,0,0.032096147537231445,2
0,0,0.03359532356262207,3
0,0,0.025600910186767578,3
1,1,0.0672309398651123,3
0,0,0.026634693145751953,3
0,0,0.024041414260864258,3
0,0,0.11540794372558594,3
0,0,0.2606618404388428,2
0,0,0.02886366844177246,3
0,0,0.024557113647460938,3
0,0,0.02690434455871582,3
0,0,0.029848337173461914,2
0,0,0.03087925910949707,2
1,1,0.02507758140563965,4
0,0,0.03249526023864746,2
0,0,0.025014877319335938,2
0,0,0.024951457977294922,2
0,0,0.024674415588378906,3
0,0,0.027256488800048828,3
0,0,0.026194095611572266,3
0,0,0.02619624137878418,3
0,0,0.027013778686523438,2
1,1,0.029482126235961914,4
