ci_initial,ci_final,elapsed_time,iterations
0,0,0.09067726135253906,6
1,0,0.10373568534851074,8
1,0,0.11072182655334473,8
1,0,0.10573625564575195,9
1,0,0.10785102844238281,9
1,0,0.10779643058776855,8
0,0,0.07365560531616211,7
1,0,0.08423089981079102,8
1,0,0.08946490287780762,8
1,0,0.08183789253234863,7
1,0,0.08901381492614746,8
1,0,0.08594942092895508,8
1,0,0.08354425430297852,8
1,0,0.0855093002319336,8
0,0,0.07583951950073242,7
1,0,0.08199667930603027,8
1,0,0.10772204399108887,9
0,0,0.09354281425476074,7
1,0,0.11030435562133789,9
1,0,0.10600924491882324,8
0,0,0.07682967185974121,7
0,0,0.07709646224975586,7
1,0,0.0868673324584961,8
1,0,0.08964681625366211,8
1,0,0.0895528793334961,8
0,0,0.07628202438354492,7
0,0,0.07758593559265137,7
1,0,0.08586788177490234,8
0,0,0.08299660682678223,7
1,0,0.08640050888061523,8
1,0,0.08437585830688477,8
1,0,0.1021883487701416,9
0,0,0.0853273868560791,7
1,0,0.0883474349975586,8
0,0,0.07302331924438477,6
0,0,0.07838129997253418,7
1,0,0.10761642456054688,10
0,0,0.10674428939819336,7
1,0,0.10972833633422852,8
0,0,0.05099010467529297,7
1,0,0.10974645614624023,8
0,0,0.10677504539489746,7
1,0,0.14565062522888184,8
1,0,0.1072385311126709,7
1,0,0.10977530479431152,8
0,0,0.09679269790649414,8
1,0,0.10725164413452148,8
1,0,0.11013531684875488,8
1,0,0.10902738571166992,8
1,0,0.1076812744140625,8
1,0,0.1062018871307373,9
1,0,0.10280561447143555,8
1,0,0.09374618530273438,7
1,0,0.1067361831665039,9
1,0,0.1003732681274414,8
1,0,0.10642766952514648,8
1,0,0.10421323776245117,7
1,0,0.1124265193939209,9
1,0,0.11003780364990234,8
1,0,0.10715532302856445,9
1,0,0.08614683151245117,7
1,0,0.08550405502319336,8
1,0,0.08606648445129395,8
1,0,0.09460878372192383,8
1,0,0.08918380737304688,8
0,0,0.0819847583770752,7
1,0,0.07683348655700684,7
1,0,0.08843874931335449,8
1,0,0.10020804405212402,8
0,0,0.10094642639160156,7
1,0,0.09948468208312988,9
1,0,0.10606217384338379,7
1,0,0.0940561294555664,8
1,0,0.08626532554626465,8
0,0,0.08368945121765137,7
1,0,0.08787345886230469,8
1,0,0.08643341064453125,8
1,0,0.09170818328857422,8
0,0,0.07066535949707031,6
1,0,0.09035110473632812,8
1,0,0.10456490516662598,8
0,0,0.08493971824645996,7
1,0,0.09291696548461914,8
0,0,0.1076803207397461,7
1,0,0.10777926445007324,8
1,0,0.10907959938049316,8
1,0,0.0952146053314209,9
1,0,0.0996549129486084,7
1,0,0.10948920249938965,9
0,0,0.10198307037353516,7
1,0,0.09781241416931152,8
1,0,0.0983431339263916,9
1,0,0.10677289962768555,9
0,0,0.1046757698059082,6
1,0,0.10736083984375,8
0,0,0.1117250919342041,6
0,0,0.11887049674987793,7
1,0,0.164947509765625,8
1,0,0.1509850025177002,8
1,0,0.1400456428527832,8
