ci_initial,ci_final,elapsed_time,iterations
7,1,1.084550142288208,14
7,0,1.0117688179016113,11
7,1,0.9292011260986328,14
7,1,0.9040615558624268,14
7,1,0.9320759773254395,14
7,1,0.9297158718109131,14
7,0,0.9127151966094971,11
7,0,0.9264090061187744,11
7,1,0.9247579574584961,14
7,0,0.904555082321167,5
7,1,1.589705228805542,14
7,1,1.9454162120819092,14
7,1,2.048771381378174,14
7,1,1.4650540351867676,14
7,1,1.5837838649749756,14
7,1,2.0641674995422363,14
7,0,1.6433796882629395,7
7,1,1.9633781909942627,14
7,1,1.8148384094238281,14
7,0,1.5493497848510742,11
7,0,2.2473127841949463,11
7,1,1.5191795825958252,14
7,1,1.6375553607940674,14
7,1,1.9480814933776855,14
7,1,1.674436092376709,14
7,1,1.869067668914795,14
7,1,1.942190408706665,14
7,1,2.0082807540893555,14
7,0,1.8808951377868652,11
7,1,1.6796081066131592,14
